,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
0,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1,Acne,pus filled pimples,blackheads,scurring,,,
2,Acne,skin rash,blackheads,scurring,,,
3,Acne,skin rash,pus filled pimples,scurring,,,
4,Acne,skin rash,pus filled pimples,blackheads,,,
5,Acne,skin rash,pus filled pimples,blackheads,scurring,,
6,Acne,skin rash,pus filled pimples,blackheads,scurring,,
7,Acne,skin rash,pus filled pimples,blackheads,,,
8,Acne,skin rash,pus filled pimples,scurring,,,
9,Acne,skin rash,pus filled pimples,blackheads,scurring,,
10,Acne,skin rash,pus filled pimples,blackheads,scurring,,
11,Acne,skin rash,pus filled pimples,blackheads,scurring,,
12,Acne,skin rash,pus filled pimples,blackheads,scurring,,
13,Acne,skin rash,pus filled pimples,blackheads,scurring,,
14,Acne,skin rash,pus filled pimples,blackheads,scurring,,
15,Acne,skin rash,pus filled pimples,blackheads,scurring,,
16,Acne,skin rash,pus filled pimples,blackheads,scurring,,
17,Acne,skin rash,pus filled pimples,blackheads,scurring,,
18,Acne,skin rash,pus filled pimples,blackheads,scurring,,
19,Acne,skin rash,pus filled pimples,blackheads,scurring,,
20,Acne,skin rash,pus filled pimples,blackheads,scurring,,
21,Acne,skin rash,pus filled pimples,blackheads,scurring,,
22,Acne,skin rash,pus filled pimples,blackheads,scurring,,
23,Acne,skin rash,pus filled pimples,blackheads,scurring,,
24,Acne,skin rash,pus filled pimples,scurring,,,
25,Acne,skin rash,blackheads,scurring,,,
26,Acne,skin rash,pus filled pimples,blackheads,scurring,,
27,Acne,skin rash,pus filled pimples,blackheads,scurring,,
28,Acne,skin rash,blackheads,scurring,,,
29,Acne,skin rash,pus filled pimples,blackheads,scurring,,
30,Acne,skin rash,pus filled pimples,scurring,,,
31,Acne,skin rash,pus filled pimples,blackheads,,,
32,Acne,skin rash,pus filled pimples,blackheads,scurring,,
33,Acne,skin rash,pus filled pimples,blackheads,,,
34,Acne,skin rash,pus filled pimples,scurring,,,
35,Acne,skin rash,blackheads,scurring,,,
36,Acne,skin rash,pus filled pimples,blackheads,scurring,,
37,Acne,pus filled pimples,blackheads,scurring,,,
38,Acne,skin rash,pus filled pimples,blackheads,scurring,,
39,Acne,skin rash,pus filled pimples,blackheads,scurring,,
40,Acne,skin rash,pus filled pimples,blackheads,scurring,,
41,Acne,skin rash,pus filled pimples,blackheads,scurring,,
42,Acne,skin rash,pus filled pimples,blackheads,scurring,,
43,Acne,skin rash,pus filled pimples,blackheads,scurring,,
44,Acne,skin rash,pus filled pimples,blackheads,scurring,,
45,Acne,skin rash,pus filled pimples,blackheads,scurring,,
46,Acne,skin rash,pus filled pimples,blackheads,scurring,,
47,Acne,skin rash,pus filled pimples,blackheads,scurring,,
48,Acne,skin rash,pus filled pimples,blackheads,scurring,,
49,Acne,skin rash,pus filled pimples,blackheads,scurring,,
50,Acne,skin rash,pus filled pimples,blackheads,scurring,,
51,Acne,skin rash,pus filled pimples,blackheads,scurring,,
52,Acne,skin rash,pus filled pimples,blackheads,scurring,,
53,Acne,skin rash,blackheads,scurring,,,
54,Acne,skin rash,pus filled pimples,scurring,,,
55,Acne,skin rash,pus filled pimples,blackheads,,,
56,Acne,skin rash,pus filled pimples,blackheads,scurring,,
57,Acne,skin rash,pus filled pimples,blackheads,,,
58,Acne,skin rash,pus filled pimples,scurring,,,
59,Acne,skin rash,blackheads,scurring,,,
60,Acne,skin rash,pus filled pimples,blackheads,scurring,,
61,Acne,pus filled pimples,blackheads,scurring,,,
62,Acne,skin rash,pus filled pimples,blackheads,scurring,,
63,Acne,skin rash,pus filled pimples,blackheads,scurring,,
64,Acne,skin rash,pus filled pimples,blackheads,scurring,,
65,Acne,skin rash,pus filled pimples,blackheads,scurring,,
66,Acne,skin rash,pus filled pimples,blackheads,scurring,,
67,Acne,skin rash,pus filled pimples,blackheads,scurring,,
68,Acne,skin rash,pus filled pimples,blackheads,scurring,,
69,Acne,skin rash,pus filled pimples,blackheads,scurring,,
70,Acne,skin rash,blackheads,scurring,,,
71,Acne,skin rash,pus filled pimples,scurring,,,
