,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
786,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2422,Acne,pus filled pimples,blackheads,scurring,,,
2423,Acne,skin rash,blackheads,scurring,,,
2424,Acne,skin rash,pus filled pimples,scurring,,,
2425,Acne,skin rash,pus filled pimples,blackheads,,,
2426,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4424,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2427,Acne,skin rash,pus filled pimples,blackheads,,,
2428,Acne,skin rash,pus filled pimples,scurring,,,
3440,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3727,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4465,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3686,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2497,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4834,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3153,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4506,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2538,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3358,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4055,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2421,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3645,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2420,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4875,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1608,Acne,skin rash,pus filled pimples,scurring,,,
1609,Acne,skin rash,blackheads,scurring,,,
4137,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4342,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1199,Acne,skin rash,blackheads,scurring,,,
3317,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1198,Acne,skin rash,pus filled pimples,scurring,,,
1197,Acne,skin rash,pus filled pimples,blackheads,,,
1196,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1195,Acne,skin rash,pus filled pimples,blackheads,,,
1194,Acne,skin rash,pus filled pimples,scurring,,,
1193,Acne,skin rash,blackheads,scurring,,,
3194,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1192,Acne,pus filled pimples,blackheads,scurring,,,
1191,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1190,Acne,skin rash,pus filled pimples,blackheads,scurring,,
