,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
11,Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
23,Aids,avoid open cuts,wear ppe if possible,consult doctor,follow up
31,Alcoholic,stop alcohol consumption,consult doctor,medication,follow up
2,Allergy,apply calamine,cover area with bandage,,use ice to compress itching
38,Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
30,Bronchial,switch to loose cloothing,take deep breaths,get away from trigger,seek help
19,Cervical,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
18,Chicken,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
6,Chronic,cold baths,anti itch medicine,consult doctor,eat healthy
17,Common,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
34,Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
12,Diabetes,have balanced diet,exercise,consult doctor,follow up
16,Dimorphic,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
0,Drug,stop irritation,consult nearest hospital,stop taking drug,follow up
27,Fungal,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
39,Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
5,Gerd,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
36,Heart,call ambulance,chew or swallow asprin,keep calm,
33,Hepatitis,stop alcohol consumption,rest,consult doctor,medication
7,Hepatitis,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
28,Hepatitis,Consult nearest hospital,vaccination,eat healthy,medication
35,Hepatitis,consult doctor,medication,eat healthy,follow up
26,Hepatitis,consult nearest hospital,vaccination,eat healthy,medication
14,Hypertension,meditation,salt baths,reduce stress,get proper sleep
20,Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
10,Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
3,Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
13,Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
32,Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
1,Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
29,Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
8,Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
24,Paralysis,massage,eat healthy,exercise,consult doctor
15,Peptic,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
37,Pneumonia,consult doctor,medication,rest,follow up
4,Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
40,Tuberculosis,cover mouth,consult doctor,medication,rest
25,Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
21,Urinary,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
22,Varicose,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
9,Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
